# brand<TAB>ingredient(s) — FULL RxNorm (public domain), dumped from the ingested
# rxnorm_atoms/rxnorm_rel (rxnorm-20260706). ';'-sep combos; loader takes first.
# First ingredient prefers the name PrimeKG uses (via --primekg-names).
# Regenerate: scripts/rxnorm_ingest.py then build_rxnorm_table.py --from-db
1 plus 1 f	clioquinol;pramocaine;hydrocortisone;pramoxine;iodochlorhydroxyquin
40 winks	diphenhydramine
4xla activator	lactate
8-mop	methoxsalen
a+d diaper rash	zinc oxide;dimethicone;dimeticone;zinc (as oxide);zinc (as zinc oxide)
a+d original	lanolin;petrolatum;petrolatum,white;white petrolatum;petrolatum, yellow
a-cof dh	guaifenesin;hydrocodone
a-g tussin	hydrocodone;pseudoephedrine;chlorpheniramine;chlorphenamine
a-hydrocort	hydrocortisone
a-methapred	methylprednisolone
a-phedrin	triprolidine;pseudoephedrine
a.e.r. witch hazel	witch hazel;hamamelis water;witch hazel extract;hamamelis virginiana
a.p.l.	chorionic gonadotropin;chorionic gonadotrophin
a/b otic	antipyrine;benzocaine;phenazone
a/t/s	erythromycin;erythromycin base
aagylur	penicillamine
aardora anti-fungal maximum strength	clotrimazole
abbokinase	urokinase
abecma	idecabtagene vicleucel
abelcet	amphotericin b
abilify	aripiprazole
abirtega	abiraterone
abraxane	paclitaxel
abreva	docosanol
abreva rapid pain relief	glycerin;lidocaine;glycerol
abrilada	adalimumab
abrysvo	respiratory syncytial virus pre-fusion f protein
absorbine	menthol
absorbine jr.	menthol
absorbine jr. antifungal	tolnaftate
absorbine junior	menthol
absorbine veterinary	menthol
absorbine veterinary liniment	iodine;chloroxylenol;jodum;menthol;parachlorometaxylenol;parachlorometoxylenol
absorica	isotretinoin
abstral	fentanyl
acam2000	smallpox vaccine live, new york city board of health vaccinia strain
acanya	clindamycin;benzoyl peroxide
accolate	zafirlukast
accrufer	ferric maltol;iron (as ferric maltol)
accuneb	salbutamol;albuterol
accupril	quinapril
accuretic	quinapril;hydrochlorothiazide
accutane	isotretinoin
accuzyme	urea;papain;carbamide
aceon	perindopril
acephen	acetaminophen;paracetamol
aceta	acetaminophen;paracetamol
acetadote	acetylcysteine;n-acetyl cysteine
acetadryl	acetaminophen;diphenhydramine;paracetamol
acetasol	acetic acid;acetic acid,glacial;glacial acetic acid;acetic acid, glacial
acetasol hc	acetic acid;hydrocortisone;acetic acid,glacial;glacial acetic acid;acetic acid, glacial
acetocot	triamcinolone
achromycin	tetracycline
aci-jel	glycerin;acetic acid;oxyquinoline;glycerol;ricinoleate;hydroxyquinoline;acetic acid,glacial;glacial acetic acid;acetic acid, glacial
acid gone	aluminum hydroxide;magnesium carbonate;aluminium hydroxide;aluminum (as hydroxide);magnesium (as carbonate)
acid gone antacid	aluminum hydroxide;magnesium trisilicate;aluminium hydroxide;aluminum (as hydroxide)
acid jelly	acetic acid;acetic acid,glacial;glacial acetic acid;acetic acid, glacial
acidic vaginal jelly	acetic acid;acetic acid,glacial;glacial acetic acid;acetic acid, glacial
aciphex	rabeprazole
aclaro	hydroquinone
aclovate	alclometasone
acne	benzoyl peroxide
acne medication	benzoyl peroxide
acne treatment	benzoyl peroxide
acne-10	benzoyl peroxide
acne-5	benzoyl peroxide
acne-clear	benzoyl peroxide
acneclir	salicylic acid
acnevir	salicylic acid
acneworx	salicylic acid
acnigel	benzoyl peroxide
acnomel	resorcinol;sulfur
acnotex	resorcinol;sulfur
act fluoride rinse	sodium fluoride;fluoride (as sodium);fluoride (as sodium fluoride)
actacin	triprolidine;pseudoephedrine
actagen	triprolidine;pseudoephedrine
actamin	acetaminophen;paracetamol
actamine	triprolidine;pseudoephedrine
actedril	triprolidine;pseudoephedrine
actemra	tocilizumab
acth gel	corticotropin;corticotropin, repository
acth-40 hp	corticotropin;corticotropin, repository
acth-80	corticotropin;corticotropin, repository
acthar	corticotropin;corticotropin, repository
acthib	haemophilus b polysaccharide vaccine;haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine
actibine	yohimbine;yohimbe
acticin	permethrin
acticlate	doxycycline
acticort 100	hydrocortisone
actidose	activated charcoal;charcoal,activated;medicinal charcoal
actifed	triprolidine;pseudoephedrine
actifed allergy day/night	diphenhydramine;pseudoephedrine
actifed with codeine	codeine;triprolidine;pseudoephedrine
actigall	ursodeoxycholate
actimmune	interferon gamma-1b;interferon gamma-1b (e. coli)
actinex	masoprocol
actiq	fentanyl
activase	alteplase;alteplase,recombinant;alteplase, recombinant
active q	ubiquinol
activeoxy	hydrogen peroxide
activice	menthol
activon arthritis	histamine;menthol
activon joint & muscle	menthol
activon joint and muscle	menthol
actonel	risedronate
actoplus met	metformin;pioglitazone
actos	pioglitazone
actron	ketoprofen
acuflex	acetaminophen;phenyltoloxamine;paracetamol
acular	ketorolac
acuprin 81	acetylsalicylic acid;aspirin
acuvail	ketorolac
acys-5	acetylcysteine;n-acetyl cysteine
aczone	dapsone
adacel	clostridium tetani toxoid antigen (formaldehyde inactivated);corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated);tetanus;tetanus toxoid;diphtheria toxoid;clostridium tetani;diphtheria protein;pertussis, acellular;tetanus toxoid adsorbed;tetanus toxoid, adsorbed;diphtheria toxoid protein;pertussis vaccine,adsorbed;corynebacterium diphtheriae;pertussis vaccine,acellular;tetanus toxoid vaccine, inactivated;diphtheria toxoid vaccine, inactivated;pertussis vaccine, acellular (adsorbed);acellular pertussis vaccine, inactivated
adagen	pegademase;pegademase bovine;pegademase (bovine)
adakveo	crizanlizumab
adalat	nifedipine;nifedipine, micronized
adapin	doxepin
adasuve	loxapine
adbeon	betamethasone
adbry	tralokinumab
adcetris	brentuximab vedotin
adcirca	tadalafil
addaprin	ibuprofen
adderall	amphetamine;dextroamphetamine;amfetamine;dexamfetamine
addyi	flibanserin
adempas	riociguat
