# us_or_common<TAB>primekg_canonical — generalized from RxNorm synonyms mapped to the
# PrimeKG-preferred name (RxNorm rxcui → UNII/DrugBank-id → primekg_drugs). Replaces
# the 2-entry hand seed. Regenerate: build_rxnorm_table.py --build-alias --primekg-names …
(((1-chloro-4-hydroxyisoquinolin-3-yl)carbonyl)amino)acetic acid	fg-2216
((1r)-1-((2,5-dichlorobenzamido)acetamido)-3-methylbutyl)boronic acid	ixazomib
((2s)-4-(7-(8-chloronaphthalen-1-yl)-2-(((2s)-1- methylpyrrolidin-2-yl)methoxy)-5,6,7,8- tetrahydropyrido(3,4-d)pyrimidin-4-yl)-1-(2-fluoroprop2-enoyl)piperazin-2-yl)acetonitrile	mrtx849
((3-iodophenyl)methyl)guanidine	iobenguane
((3s)-3-{1-((2r)-2-ethoxycarbonyl-4-phenylbutyl)cyclopentanecarboxamido}-2-oxo-2,3,4,5-tetrahydro-1h-1-benzazepin-1-yl)acetic acid	daglutril
((6r,7r)-1-((2-carboxy-8-oxo-7-(2-(2-thienyl)acetamido)-5-thia-1-azabicyclo(4.2.0)oct-2-en-3-yl)methyl)pyridinium hydroxide, inner salt	cefaloridine
((amino(imino)methyl)(methyl)amino)acetic acid	creatine
(-)-(1r,2s)-(1,2-epoxypropyl)phosphonic acid	fosfomycin
(-)-(1r,3r,4s)-menthol	levomenthol
(-)-(2r)-2-(2-fluorobiphenyl-4-yl)propanoic acid	tarenflurbil
(-)-(2r)-3-(2-methoxy-10h-phenothiazin-10-yl)-n,n,2-trimethylpropan-1-amine	methotrimeprazine
(-)-(2r,5s)-5-fluoro-1-[2-(hydroxymethyl)-1,3-oxathiolan-5-yl]cytosine	emtricitabine
(-)-(3s,4r)-4-(p-fluorophenyl)-3-((3,4-(methylenedioxy)phenoxy)methyl)piperidine	paroxetine
(-)-(5r)-4,5-epoxy-3-hydroxy-9α-methylmorphinan-6-one	hydromorphone
(-)-(6r)-2-amino-6-((1r,2s)-1,2-dihydroxypropyl)-5,6,7,8-tetrahydro-4(3h)-pteridinone	sapropterin
(-)-(r)-epinephrine	epinephrine
(-)-(r)-modafinil	armodafinil
(-)-(s)-hesperetin	hesperetin
(-)-(s)-proline	proline
(-)-(s,s)-tartaric acid	d-tartaric acid
(-)-1-((2r,5s)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl)cytosine	lamivudine
(-)-10,11-dihydroxyaporphine	apomorphine
(-)-10-(3-(dimethylamino)-2-methylpropyl)-2-methoxyphenothiazine	methotrimeprazine
(-)-13-ethyl-17-hydroxy-18,19-dinor-17alpha-pregn-4-en-20-yn-3-one	levonorgestrel
(-)-13β-amino-5,6,7,8,9,10,11α,12-octahydro-5α-methyl-5,11-methanobenzocyclodecen-3-ol	dezocine
(-)-14-hydroxydihydrocodeinone	oxycodone
(-)-17-(cyclobutylmethyl)morphinan-3,14-diol	butorphanol
(-)-2'-deoxy-3'-thiacytidine	lamivudine
(-)-2,2-dimethyl-1,3-dioxolan-4s-ylmethyl 3-[4-[3-[2-(morpholinocarbonylamino)ethylamino]-2s-hydroxypropoxy]phenyl]propionate	landiolol
(-)-2-[(r)-(diphenylmethyl)sulfinyl]acetamide	armodafinil
(-)-2-difluoromethylornithine	l-eflornithine
(-)-2-pyrrolidinecarboxylic acid	proline
(-)-2-pyrrolidone-5-carboxylic acid	pidolic acid
(-)-3,4-dihydroxy-α-((methylamino)methyl)benzyl alcohol	epinephrine
(-)-3-(3,4-dihydroxyphenyl)-l-alanine	levodopa
(-)-albuterol	levosalbutamol
(-)-alpha-acetylmethadol	levacetylmethadol
(-)-alpha-bisabolol	levomenol
(-)-alpha-methyl-l-tyrosine	metyrosine
(-)-arterenol	norepinephrine
(-)-ascorbic acid, zinc salt	zinc ascorbate
(-)-atropine	hyoscyamine
(-)-bornan-2-one	(s)-camphor
(-)-bunolol	levobunolol
(-)-bupivacaine	bupivacaine
(-)-buprenorphine	buprenorphine
(-)-butorphanol	butorphanol
(-)-camphor	(s)-camphor
(-)-carnitine	levocarnitine
(-)-cefixim	cefixime
(-)-cis-4-amino-5-fluoro-1-(2-hydroxymethyl-1,3-oxathiolan-5-yl)-(1h)-pyrimidin-2-one	emtricitabine
(-)-cis-5,6,7,8-tetrahydro-6-phenyl-5-(p-(2-(1-pyrrolidinyl)ethoxy)phenyl)-2-naphthol	lasofoxifene
(-)-cobefrin	levonordefrin
(-)-cocaine	cocaine
(-)-codeine	codeine
(-)-d-tartaric acid	d-tartaric acid
(-)-delta9-trans-tetrahydrocannabinol	dronabinol
(-)-desoxyepothilone b	epothilone d
(-)-dihydrocodeinone	hydrocodone
(-)-dopa	levodopa
(-)-ephedrine	ephedrine
(-)-epigallocatechin 3-gallate	epigallocatechin gallate
(-)-epigallocatechin gallate	epigallocatechin gallate
(-)-epigallocatechin-3-o-gallate	epigallocatechin gallate
(-)-epigallocatechin-3-o-gallate (egcg) (constituent of powdered decaffeinated green tea extract) [dsc]	epigallocatechin gallate
(-)-epothilone b	patupilone
(-)-erythro-metaraminol	metaraminol
(-)-eseroline phenylcarbamate	phenserine
(-)-etafedrine	etafedrine
(-)-etodolac	etodolac
(-)-etoposide	etoposide
(-)-formoterol	arformoterol
(-)-ftc	emtricitabine
(-)-galanthamine	galantamine
(-)-gossypol	gossypol
(-)-hesperetin	hesperetin
(-)-homoharringtonine	omacetaxine mepesuccinate
(-)-huperazine a	huperzine a
(-)-huperzine a	huperzine a
(-)-hyoscine	scopolamine
(-)-hyoscyamine	hyoscyamine
(-)-ketamine	esketamine
(-)-l-alpha-hydrazino-3,4-dihydroxy-alpha-methylhydrocinnamic acid monohydrate	carbidopa
(-)-l-carnitine	levocarnitine
(-)-m-hydroxy-α-(methylaminomethyl)benzyl alcohol	phenylephrine
(-)-menthol	levomenthol
(-)-menthyl alcohol	levomenthol
(-)-modafinil	modafinil
(-)-morphine	morphine
(-)-n-(((r)-2,3-dihydroxypropyl)oxy)-3,4-difluoro-2-((2-fluoro-4-iodophenyl)amino)benzamide	pd-0325901
(-)-n-cyclobutylmethyl-3,14-dihydroxymorphinan	butorphanol
(-)-naloxone	naloxone
(-)-narcotine	noscapine
(-)-nicotine	nicotine
(-)-noradrenaline	norepinephrine
(-)-norepinephrine	norepinephrine
(-)-oddc	troxacitabine
(-)-ofloxacin	levofloxacin
(-)-omeprazole	esomeprazole
(-)-oseltamivir	oseltamivir
(-)-penicillamine	penicillamine
(-)-phenserine	phenserine
(-)-podophyllotoxin	podofilox
(-)-pramipexole	pramipexole
(-)-proline	proline
(-)-propoxyphene	levopropoxyphene
(-)-quinine	quinine
(-)-rapamycin	sirolimus
(-)-reserpine	reserpine
(-)-rolipram	rolipram
(-)-salbutamol	levosalbutamol
(-)-scopolamine	scopolamine
(-)-scopolamine methobromide	methscopolamine bromide
(-)-scopolamine methyl bromide	methscopolamine bromide
(-)-selagine	huperzine a
(-)-selegiline	selegiline
(-)-sorbitol	sorbitol
(-)-sparteine	sparteine
(-)-sulforaphane	sulforaphane
(-)-tamsulosin	tamsulosin
(-)-tartaric acid	d-tartaric acid
(-)-tetrahydrolipstatin	orlistat
(-)-tomoxetine	atomoxetine
(-)-trans-2-p-mentha-1,8-dien-3-yl-5-pentylresorcinol	cannabidiol
(-)-trans-cannabidiol	cannabidiol
(-)-trans-p-methan-cis-3-ol	levomenthol
(-)-warfarin	(s)-warfarin
(-)-α-amino-p-hydroxyhydrocinnamic acid	tyrosine
(-)-α-methyl-l-tyrosine	metyrosine
(-)-α-narcotine	noscapine
(-)-β-2',3'-dideoxy-5-fluoro-3'-thiacytidine	emtricitabine
(1'r,2'r)-5'-methyl-4-pentyl-2'-(prop-1-en-2-yl)-1',2',3',4'-tetrahydrobiphenyl-2,6-diol	cannabidiol
(1(1s,2r),5(s))-2,3,5-trideoxy-n-(2,3-dihydro-2-hydroxy-1h-inden-1-yl)-5-(2-(((1,1-dimethylethyl)amino)carbonyl)-4-(3-pyridinylmethyl)-1-piperazinyl)-2-(phenylmethyl)-d-erythro-pentonamide	indinavir
(1)-2-(4-chlorophenyl)benzoxazole-5-propionic acid	benoxaprofen
(1,2-dihydroxy-3-propyl)thiophyllin	dyphylline
(1,8-diethyl-1,3,4,9-tetrahydro-pyrano[3,4-b]indol-1-yl)-acetic acid	etodolac
(1-(5-deoxy-beta-d-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinyl)-carbamic acid pentyl ester	capecitabine
(1-743)-(1638-2332)-blood-coagulation factor viii (synthetic human) fusion protein with immunoglobulin g1 (synthetic human fc domain fragment), (1444-6'),(1447-9')-bis(disulfide) with immunoglobulin g1 (synthetic human fc domain fragment)	efmoroctocog alfa
(1-amino-3-(((2-((diaminomethylene)amino)-4-thiazolyl)methyl)thio)propylidene)sulfamide	famotidine
(1-aminocyclohexyl)penicillin	cyclacillin
(1-hydroxy-2-(1h-imidazol-1-yl)ethylidene)bisphosphonic acid	zoledronic acid
(1-hydroxy-2-imidazol-1-ylethylidene)diphosphonic acid	zoledronic acid
(1-hydroxy-ethylidene)diphosphonic acid	etidronic acid
(1-hydroxyethylene)diphosphonic acid	etidronic acid
(1-hydroxyethylidene)bis(phosphonic acid)	etidronic acid
(1-hydroxyethylidene)bisphosphonic acid	etidronic acid
(1-hydroxyethylidene)diphosphonic acid	etidronic acid
(1-methyl-2-phenoxyethyl)hydrazine	phenoxypropazine
(1-methylethyl)carbamic acid 2-(((aminocarbonyl)oxy)methyl)-2-methylpentyl ester	carisoprodol
(1-thio-beta-d-glucopyranosato)(triethylphosphine)gold 2,3,4,6-tetraacetate	auranofin
(10s)-10-acetoxy-10,11-dihydro-5h-dibenz[b,f]azepine-5-carboxamide	eslicarbazepine acetate
(10s)-5-carbamoyl-10,11-dihydro-5h-dibenzo[b,f]azepin-10-yl acetate	eslicarbazepine acetate
(11)c-choline	choline c 11
(11α,13e,15s)-11,15-dihydroxy-9-oxoprost-13-en-1-oic acid	alprostadil
(11β)-11,17,21-trihydroxypregn-4-ene-3,20-dione	hydrocortisone
(11β)-11,17,21-trihydroxypregna-1,4-diene-3,20-dione	prednisolone
(11β)-11,21-dihydroxy-3,20-dioxopregn-4-en-18-al	aldosterone
(11β)-11,21-dihydroxypregn-4-ene-3,20-dione	corticosterone
(11β,16α)-16,17-(butylidenebis(oxy))-11,21-dihydroxypregna-1,4-diene-3,20-dione	budesonide
(11β,16α)-9-fluoro-11,21-dihydroxy-16-methylpregna-1,4-diene-3,20-dione	desoximetasone
(11β,16β)-9-chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione	beclomethasone dipropionate
(13e)-(15s)-11alpha,15-dihydroxy-9-oxoprost-13-enoate	alprostadil
(13n)ammonia	ammonia n-13
(14s)-14-hydroxydihydromorphinone	oxymorphone
(15s)-15-methyl-pgf2α tromethamine salt	carboprost tromethamine
(15s)-15-methylprostaglandin f2α tromethamine	carboprost tromethamine
(15s)-prostaglandin e2	dinoprostone
(16α,17α)-17-hydroxyyohimban-16-carboxylic acid methyl ester	yohimbine
(16α,17β)-estra-1,3,5(10)-triene-3,16,17-triol	estriol
(17-beta)-estra-1,3,5(10)-triene-3,17-diol polymer with phosphoric acid	polyestradiol phosphate
(177lu-dotaotyr3)octreotate	lutetium lu 177 dotatate
(17alpha)-17-ethynyl-17-hydroxyestra-4,8(14),9-trien-3-one	norethisterone
(17α)-17-(acetyloxy)-13-ethyl-18,19-dinorpregn-4-en-20-yn-3-one 3-oxime	norgestimate
(17β)-17-hydroxyestr-4-en-3-one	nandrolone
(17β)-estra-1,3,5(10)-triene-3,17-diol	estradiol
(18f)-fdg	fludeoxyglucose (18f)
(18f)facbc	fluciclovine (18f)
(1alpha,2beta,5alpha)-5-methyl-2(1-methylethyl)cyclohexanol	levomenthol
(1r)-(-)-menthol	levomenthol
(1r)-n-propargylindan-1-amine	rasagiline
(1r*,2s*)-2-phenylcyclopropan-1-amine	tranylcypromine
(1r,2c,3t,4c,5c,6t)-1,2,3,4,5,6-hexachlorocyclohexane	lindane
(1r,2r,1'r,2'r)-2,2'-{pentane-1,5-diylbis[oxy(3-oxopropane-3,1-diyl)]}bis[1-(3,4-dimethoxybenzyl)-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolinium]	cisatracurium
(1r,2r,3s,4r,6s)-4,6-diamino-2-{[3-o-(2,6-diamino-2,6-dideoxy-beta-l-idopyranosyl)-beta-d-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-d-glucopyranoside	paromomycin
(1r,2s)-1-phenyl-1-hydroxy-2-methylaminopropane	ephedrine
(1r,2s)-epoxypropylphosphonic acid	fosfomycin
(1r,2s,5r)-(-)-menthol	racementhol
(1r,2s,5r)-2-isopropyl-5-methylcyclohexan-1-ol	levomenthol
(1r,2s,5r)-2-isopropyl-5-methylcyclohexanol	levomenthol
(1r,2s,5r)-5-methyl-2-(1-methylethyl)cyclohexanol	levomenthol
(1r,2s,5r)-menthol	racementhol
(1r,2s,8s,10s,11s,14r,15s,17s)-14-acetyl-1-fluoro-14,17-dihydroxy-2,8,15-trimethyltetracyclo[8.7.0.02,7.011,15]heptadeca-3,6-dien-5-one	fluorometholone
(1r,3r)-1-amino-3(18f)fluorocyclobutane-1-carboxylic acid	fluciclovine (18f)
(1r,3r,4s)-(-)-menthol	levomenthol
(1r,4r)-camphor	camphor
(1r,4s,5r,8s,9r,10s,12r,13r)-10-methoxy-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.0^{4,13}.0^{8,13}]hexadecane	artemether
(1r,5s)-1,2,3,4,5,6-hexahydro-1,5-methano-8h-pyrido[1,2a][1,5]diazocin-8-one	cytisine
(1r,5s,6s,8r,2's,4's)-2-(2-(3-carboxyphenylcarbamoyl)pyrrolidin-4-ylthio)-6-(1-hydroxyethyl)-1-methylcarbapenem-3-carboxylic acid	ertapenem
(1r-(1-α,2-β,5-α))-5-methyl-2-(1-methylethyl)cyclohexanol	levomenthol
(1r-(1.alpha.(z),2.beta.(1e,3r*),3.alpha.,5.alpha.))-7-(3,5-dihydroxy-2-(3-hydroxy-4-(3-(trifluoromethyl)phenoxy)-1-butenyl)cyclopentyl)-5-heptenoic acid, 1-methylethyl ester	travoprost
(1s)-(-)-camphor	(s)-camphor
(1s)-1,4-dideoxy-4-imino-(9-deazahypoxanthin-9-yl)-d-ribitol	forodesine
(1s)-1,5-anhydro-1-(4-chloro-3-{4-[(3s)-tetrahydrofuran-3-yloxy]benzyl}phenyl)-d-glucitol	empagliflozin
(1s,2r)-milnacipran	levomilnacipran
(1s,2s,3r,5s)-3-(7-((1r,2s)-2-(3,4-difluorophenyl)cyclopropylamino)-5-(propylthio)-3h-(1,2,3)triazolo(4,5-d)pyrimidin-3-yl)-5-(2-hydroxyethoxy)cyclopentane-1,2-diol	ticagrelor
(1s,2s,3s,4r,5s)-5-(4-chloro-3-(4-ethoxybenzyl)phenyl)-1-(hydroxymethyl)-6,8-dioxabicyclo[3.2.1]octane-2,3,4-triol	ertugliflozin
(1s,3ar,6as)-(2s)-2-cyclohexyl-n-(pyrazinylcarbonyl)glycyl-3-methyl-l-valyl-n-((1s)-1-((cyclopropylamino)oxoacetyl)butyl)octahydrocyclopenta(c)pyrrole-1-carboxamide	telaprevir
(1s,3r,5z,7e)-9,10-secocholesta-5,7,10-triene-1,3,25-triol	calcitriol
(1s,3r,5z,7e,22e)-9,10-secoergosta-5,7,10,22-tetraene-1,3-diol	doxercalciferol
(1s,3r,7s,8s,8ar)-1,2,3,7,8,8a-hexahydro-3,7-dimethyl-8-(2-(2r,4r)-(tetrahydro-4-hydroxy-6-oxo-2h-pyran-2-yl)ethyl)-1-naphthalenyl (s)-2-methyl-butyrate	lovastatin
(1s,3s)-3-acetyl-3,5,12-trihydroxy-6,11-dioxo-1,2,3,4,6,11-hexahydronaphthacen-1-yl 3-amino-2,3,6-trideoxy-α-l-lyxo-hexopyranoside	idarubicin
(1s,3s)-3-glycoloyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1-naphthacenyl 3-amino-2,3,6-trideoxy-.alpha.-l-arabino-hexopyranoside	epirubicin
(1s,3s)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-l-lyxo-hexopyranoside	doxorubicin
(1s,3s,5r,6r,7s)-6,7-epoxytropan-3-yl (2s)-3-hydroxy-2-phenylpropanoate	scopolamine
(1s,4s)-4-(dimethylamino)-1-ethyl-2,2-diphenylpentyl acetate	levacetylmethadol
(1s,4s)-camphor	(s)-camphor
(1s,4s)-sertraline	sertraline
(1s-cis)-1,2,3,4-tetrahydro-4-(3,4-dichlorophenyl)-n-methyl-1-naphthalenamine	sertraline
(1z)-1(2h)-phthalazinone hydrazone	hydralazine
(1α,2α,3β,4α,5α,6β)-1,2,3,4,5,6-hexachlorocyclohexane	lindane
(1α,3β,5z,7e)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol	calcitriol
(2'r,3s,4s,5r)-(-)-homoharringtonine	omacetaxine mepesuccinate
(2,3-dichloro-4-(2-methylene-1-oxobutyl)phenoxy)acetic acid	etacrynic acid
(2,3-dichloro-4-(2-thenoyl)phenoxy)acetic acid	tienilic acid
(2,3-dichloro-4-(2-thiophenecarbonyl)phenoxy)acetic acid	tienilic acid
(2,5-dioxo-4-imidazolidinyl)urea	allantoin
(2,6-dimethoxyphenyl)penicillin	meticillin
(2-(4-acetoxy-2-isopropyl-5-methylphenoxy)ethyl)dimethylamine	moxisylyte
(2-(4-hydroxyphenyl)-6-hydroxybenzo(b)thien-3-yl)(4-(2-(1-piperidinyl)ethoxy)phenyl)methanone	raloxifene
(2-(hexahydro-1(2h)-azocinyl)ethyl)guanidine	guanethidine
(2-(octahydro-1-azocinyl)ethyl)guanidine	guanethidine
(2-bromobenzyl)ethyldimethylaminium	bretylium
(2-butyl-4-chloro-1-{[2'-(1h-tetrazol-5-yl)biphenyl-4-yl]methyl}-1h-imidazol-5-yl)methanol	losartan
(2-dimethylamino-2-methyl)ethyl-n-dibenzoparathiazine	promethazine
(2-ethoxy-1-naphthalenyl)penicillin	nafcillin
(2-ethoxy-1-naphthyl)penicillin	nafcillin
(2-hydroxypropyl)trimethylammonium carbamate	bethanechol
(2e)-2-butenedioic acid	fumaric acid
(2e)-3-{6-[(1e)-1-(4-methylphenyl)-3-(pyrrolidin-1-yl)prop-1-en-1-yl]pyridin-2-yl}acrylic acid	acrivastine
(2e)-n-(4-((3-chloro-4-fluorophenyl)amino)-3-cyano-7-ethoxy-6-quinolinyl)-4-(dimethylamino)-2-butenamide	pelitinib
(2e)-n-hydroxy-3-(3-(phenylsulfamoyl)phenyl)prop-2-enamide	belinostat
(2e)-n-hydroxy-3-[4-({[2-(2-methyl-1h-indol-3-yl)ethyl]amino}methyl)phenyl]acrylamide	panobinostat
(2e,4e,6z,8e)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid	alitretinoin
(2h)-phthalazinone hydrazone	hydralazine
(2r)-2,3-dihydroxypropyl 2-(trimethylammonio)ethyl phosphate	choline alfoscerate
(2r)-2,4-dihydroxy-n-(3-hydroxypropyl)-3,3-dimethylbutanamide	dexpanthenol
(2r)-2-(2-(ethyl-((4-(2-(ethylamino)ethyl)phenyl)methyl)amino)-4-methoxy-phenyl)tetralin-6-ol	elacestrant
(2r)-2-(2-fluorobiphenyl-4-yl)propanoic acid	tarenflurbil
(2r)-2-(7-carbamoyl-1h-benzimidazol-2-yl)-2-methylpyrrolidinium	veliparib
(2r)-2-(acetylamino)-3-methoxy-n-(phenylmethyl)propanamide	lacosamide
(2r)-2-acetylamino-3-sulfanylpropanoic acid	acetylcysteine
(2r)-2-amino-3-mercaptopropanoic acid	cysteine
(2r)-2-amino-3-sulfanylpropanoic acid	cysteine
(2r)-2-methyl-6-nitro-2-((4-(4-(4-(trifluoromethoxy)phenoxy)piperidin-1-yl)phenoxy)methyl)-2,3-dihydroimidazo(2,1-b)(1,3)oxazole	delamanid
(2r)-2-propyloctanoic acid	arundic acid
(2r*,3s)-rel-1,2,3,4-butanetetroltetranitrate	erythrityl tetranitrate
(2r,3r)-2,3-dihydroxysuccinic acid	l-tartaric acid
(2r,3r)-2-(2,4-difluorophenyl)-3-(4-methylene-1-piperidinyl)-1-(1h-1,2,4-triazol-1-yl)-2-butanol	efinaconazole
(2r,3r)-tartaric acid	l-tartaric acid
(2r,3r,4r,5r)-hexane-1,2,3,4,5,6-hexaol	mannitol
(2r,3r,4r,5r)-hexane-1,2,3,4,5,6-hexol	mannitol
(2r,3r,4s)-3-(acetylamino)-4-carbamimidamido-2-[(1r,2r)-1,2,3-trihydroxypropyl]-3,4-dihydro-2h-pyran-6-carboxylic acid	zanamivir
(2r,3r,4s,5r)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	adenosine
(2r,3r,4s,5r)-5-(6-amino-2-chloropurin-9-yl)-4-fluoro-2-(hydroxymethyl)oxolan-3-ol	clofarabine
(2r,3s)-catechin	cianidanol
(2r,3s,4r,5s)-2-(hydroxymethyl)piperidine-3,4,5-triol	migalastat
(2r,3s,5r)-5-(6-amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol	cladribine
(2r,4r)-1-[(2s)-5-[(aminoiminomethyl)amino]-1-oxo-2-[[(1,2,3,4-tetrahydro-3-methyl-8- quinolinyl)sulfonyl]amino]pentyl]-4-methyl-2-piperidinecarboxylic acid	moxonidine
(2r,4r,7r)-n-[(1s,2s,4r,7s)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.02,7.012,16]hexadeca-1(16),9,12,14-tetraene-4-carboxamide	dihydroergotamine
(2r,6s,12z,13ar,14ar,16as)-n-(cyclopropanesulfonyl)-6-[(5-methylpyrazine-2-carbonyl)amino]-5,16-dioxo-2-[(phenanthridin-6-yl)oxy]-1,2,3,6,7,8,9,10,11,13a,14,15,16,16a-tetradecahydrocyclopropa[e]pyrrolo[1,2-a][1,4]diazacyclopentadecine-14a(5h)-carboxamide	paritaprevir
(2r-cis)-(3-methyloxiranyl)phosphonic acid	fosfomycin
(2r-cis)-4-amino-5-fluoro-1-(2-(hydroxymethyl)-1,3-oxathiolan-5-yl)-2(1h)-pyrimidinone	emtricitabine
(2rs)-1-(2,6-dimethylphenoxy)-2-aminopropane	mexiletine
(2rs)-1-(4-ethylphenyl)-2-methyl-3-(1-piperidyl)propan-1-one	eperisone
(2rs)-1-(4-methoxyphenyl)propan-2-amine	4-methoxyamphetamine
(2s)-1-(tert-butylamino)-3-(2-cyclopentylphenoxy)propan-2-ol	penbutolol
(2s)-1-[(2s)-2-methyl-3-sulfanylpropanoyl]pyrrolidine-2-carboxylic acid	captopril
(2s)-2,4-diamino-4-oxobutanoic acid	asparagine
(2s)-2,5-diamino-5-oxopentanoic acid	l-glutamine
(2s)-2-((4-((1rs)-1-((2,4-diaminopteridin-6-yl)methyl)but-3-ynyl)benzoyl)amino)pentanedioic acid	pralatrexate
(2s)-2-((4s)-4-(2,2-difluoroethenyl)-2-oxopyrrolidin-1-yl)butanamide	seletracetam
(2s)-2-(4-isobutylphenyl)propanoic acid	dexibuprofen
(2s)-2-(butylsulfonylamino)-3-[4-(4-piperidin-4-ylbutoxy)phenyl]propanoic acid	tirofiban
(2s)-2-(carbamoylamino)pentanedioic acid	carglumic acid
(2s)-2-({4-[1-(2,4-diaminopteridin-6-yl)pent-4-yn-2-yl]benzoyl}amino)pentanedioic acid	pralatrexate
(2s)-2-[(4,6-dimethylpyrimidin-2-yl)oxy]-3-methoxy- 3,3-diphenylpropanoic acid	ambrisentan
(2s)-2-acetamido-4-(methylsulfanyl)butanoic acid	n-acetylmethionine
(2s)-2-acetylamino-3-(4-hydroxyphenyl)propanoic acid	n-acetyltyrosine
(2s)-2-amino-3-(1h-indol-3-yl)propanoic acid	tryptophan
(2s)-2-amino-3-(4-hydroxyphenyl)propanoic acid	tyrosine
(2s)-2-amino-3-carbamoylpropanoic acid	asparagine
(2s)-2-amino-3-methylbutanoic acid	valine
(2s)-2-amino-4-(methylsulfanyl)butanoic acid	methionine
(2s)-2-amino-4-carbamoylbutanoic acid	l-glutamine
(2s)-2-amino-4-methylpentanoic acid	leucine
(2s)-2-amino-5-(carbamimidamido)pentanoic acid	arginine
(2s)-2-amino-5-guanidinopentanoic acid	arginine
(2s)-2-aminopentanedioic acid	glutamic acid
(2s)-2-aminopropanoic acid	alanine
(2s)-alpha-2-amino-4-methylvaleric acid	leucine
(2s)-alpha-leucine	leucine
(2s)-pyrrolidine-2-carboxylic acid	proline
(2s)-threonine	threonine
(2s,3as,7as)-1-[(2s)-2-{[(2s)-1-ethoxy-1-oxopentan-2-yl]amino}propanoyl]octahydro-1h-indole-2-carboxylic acid	perindopril
(2s,3r)-(-)-threonine	threonine
(2s,3r,4r,5s,6r)-2-(4-chloro-3-(4-ethoxybenzyl)phenyl)-6- (hydroxymethyl)tetrahydro-2h-pyran-3,4,5-triol	dapagliflozin
(2s,3s)-(-)-tartaric acid	d-tartaric acid
(2s,3s)-2-amino-3-methylpentanoic acid	isoleucine
(2s,3s)-3,4-dimethyl-2-phenylmorpholine	phendimetrazine
(2s,3s)-5-(2-(dimethylamino)ethyl)-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydrobenzo[b][1,4]thiazepin-3-yl acetate	diltiazem
(2s,3s)-tartaric acid	d-tartaric acid
