เบาหวาน	diabetes	common
ความดันโลหิตสูง	hypertens	common
หอบหืด	asthma	common
กล้ามเนื้อหัวใจตาย	infarction	common
หลอดเลือดสมอง	stroke|cerebr	common
ลมชัก	epilep	common
ไตวาย	renal|kidney	common
ปอดบวม	pneumonia	common
ตับแข็ง	cirrhosis	common
มะเร็งเต้านม	breast	common
ข้ออักเสบรูมาตอยด์	rheumatoid	common
ไทรอยด์เป็นพิษ	hyperthyroid|thyrotox	common
โรคพาร์กินสัน	parkinson	common
ภาวะหัวใจล้มเหลว	heart failure|cardiac failure	hard
โรคปอดอุดกั้นเรื้อรัง	obstructive pulmonary|copd	hard
กล้ามเนื้อหัวใจขาดเลือด	ischem	hard
ภาวะซึมเศร้า	depress	hard
โลหิตจางจากการขาดธาตุเหล็ก	iron|anemia|anaemia	hard
ไข้เลือดออก	dengue	common
วัณโรค	tuberculosis	common
ไวรัสตับอักเสบบี	hepatitis b|hepatitis	common
ไทรอยด์ต่ำ	hypothyroid	common
ต้อกระจก	cataract	common
ต้อหิน	glaucoma	common
ไมเกรน	migraine	common
ริดสีดวงทวาร	hemorrhoid|haemorrhoid	common
กรดไหลย้อน	reflux|gerd|gastro-eso|gastroeso	common
นิ่วในไต	kidney stone|renal calcul|nephrolith|calculus of kidney	common
ต่อมลูกหมากโต	prostat	common
โรคเกาต์	gout	common
กระดูกพรุน	osteoporosis	common
ข้อเข่าเสื่อม	osteoarthritis|gonarthrosis	common
โรคสะเก็ดเงิน	psoriasis	common
ลมพิษ	urticaria	common
ภูมิแพ้	allerg|hypersensitiv	common
ไซนัสอักเสบ	sinusitis	common
ต่อมทอนซิลอักเสบ	tonsillitis	common
โรคอ้วน	obesity	common
ไขมันในเลือดสูง	hyperlipid|dyslipid|cholesterol	common
โรคจิตเภท	schizophren	hard
โรควิตกกังวล	anxiety	hard
ภาวะสมองเสื่อม	dementia|alzheimer	hard
มะเร็งปอด	lung|bronch	common
มะเร็งตับ	liver|hepatocellular|hepatic	common
มะเร็งปากมดลูก	cervix|cervical	common
ธาลัสซีเมีย	thalass	hard
DM	diabetes	abbrev
HT	hypertens	abbrev
COPD	obstructive pulmonary	abbrev
CKD	chronic kidney|renal	abbrev
ไข้หวัดใหญ่	influenza	infectious
มาลาเรีย	malaria	infectious
เอชไอวี	hiv|immunodeficiency	infectious
งูสวัด	herpes zoster|shingles	infectious
อีสุกอีใส	varicella|chickenpox	infectious
หัด	measles	infectious
คางทูม	mumps	infectious
โรคพิษสุนัขบ้า	rabies	infectious
บาดทะยัก	tetanus	infectious
โรคฉี่หนู	leptospir	infectious
ไส้ติ่งอักเสบ	appendicitis	gi
ถุงน้ำดีอักเสบ	cholecystitis	gi
ตับอ่อนอักเสบ	pancreatitis	gi
แผลในกระเพาะอาหาร	peptic ulcer|gastric ulcer|ulcer	gi
อุจจาระร่วง	diarrh|gastroenteritis	gi
โรคโครห์น	crohn	gi
มะเร็งกระเพาะอาหาร	gastric|stomach	cancer
มะเร็งลำไส้ใหญ่	colorect|colon	cancer
มะเร็งต่อมลูกหมาก	prostat	cancer
มะเร็งเม็ดเลือดขาว	leukemia|leukaemia	cancer
มะเร็งต่อมน้ำเหลือง	lymphoma	cancer
กระเพาะปัสสาวะอักเสบ	cystitis	renal
ติดเชื้อทางเดินปัสสาวะ	urinary tract infection|cystitis	renal
ไตอักเสบ	nephritis|glomerulonephritis	renal
เบาจืด	diabetes insipidus	endocrine
ภาวะน้ำตาลในเลือดต่ำ	hypoglyc	endocrine
หัวใจเต้นพลิ้ว	atrial fibrillation	cardiac
หลอดเลือดดำอุดตัน	venous thromb|thrombosis|dvt	cardiac
หลอดเลือดแดงแข็ง	atheroscler	cardiac
ภาวะหายใจล้มเหลว	respiratory failure	respiratory
วัณโรคปอด	pulmonary tuberculosis|tuberculosis	respiratory
โรคอัลไซเมอร์	alzheimer|dementia	neuro
โรคปลอกประสาทเสื่อมแข็ง	multiple sclerosis	neuro
เยื่อหุ้มสมองอักเสบ	meningitis	neuro
เลือดออกในสมอง	cerebral h|intracerebral|h(a)?emorrhage	neuro
โรคย้ำคิดย้ำทำ	obsessive|ocd	psych
โรคอารมณ์สองขั้ว	bipolar	psych
สมาธิสั้น	attention deficit|hyperkinetic|adhd	psych
โรคลูปัส	lupus	autoimmune
ผิวหนังอักเสบ	dermatitis|eczema	derm
สิว	acne	derm
เยื่อบุตาอักเสบ	conjunctivitis	eye
ครรภ์เป็นพิษ	pre-eclampsia|eclampsia|preeclampsia	obgyn
เบาหวานขณะตั้งครรภ์	gestational diabetes	obgyn
เนื้องอกมดลูก	uterine|leiomyoma|fibroid	obgyn
ถุงน้ำรังไข่	ovarian cyst	obgyn
หมอนรองกระดูกทับเส้นประสาท	disc|radiculopathy	msk
โรคพาร์กินสันระยะแรก	parkinson	neuro
มะเร็งผิวหนัง	melanoma|skin	cancer
ภาวะหัวใจเต้นช้า	bradycard	cardiac
